"airline","date_of_journey","source","destination","route","dep_time","arrival_time","total_stops","additional_info","price","journey_day","journey_month","duration_total_mins"
"AirAsia India","2024-02-25","Guwahati","Indore","GUW-NAG-MUM-RAI-IND","01:39","14:15",3,"red-eye flight",14170,25,2,195
"TruJet","2021-03-01","Nagpur","Pune","NAG-PUN","06:48","03:21",0,"1 long layover",10295,1,3,60
"Star Air","2024-04-11","Ahmedabad","Varanasi","AHM-PUN-BAN-VAR","08:54","15:50",2,"in-flight meal not included",9165,11,4,870
"SpiceJet","2019-03-13","Patna","Indore","PAT-LUC-GOA-BHU-IND","18:09","08:23",3,"none",9944,13,3,435
"SpiceJet","2023-06-22","Raipur","Mumbai","RAI-GOA-MUM","15:05","05:52",1,"1 long layover",9474,22,6,930
"SpiceJet","2025-03-25","Kolkata","Bhubaneswar","KOL-BHU","11:09","03:49",0,"red-eye flight",5106,25,3,450
"GoAir","2025-10-15","Indore","Surat","IND-SUR","22:38","02:12",0,"limited seats",9730,15,10,450
"SpiceJet","2020-10-02","Ahmedabad","Bangalore","AHM-GUW-BAN","16:15","12:11",1,"business class available",6436,2,10,720
"Air India","2023-05-03","Lucknow","Guwahati","LUC-NAG-GOA-GUW","15:25","07:28",2,"red-eye flight",7770,3,5,540
"GoAir","2025-12-01","Bangalore","Kolkata","BAN-KOL","06:49","08:44",0,"business class available",3000,1,12,690
"Alliance Air","2021-02-04","Delhi","Jaipur","DEL-PUN-JAI","20:33","10:46",1,"business class available",5394,4,2,630
"Star Air","2023-08-06","Guwahati","Indore","GUW-LUC-IND","23:43","14:15",1,"1 long layover",7067,6,8,420
"Star Air","2021-09-15","Lucknow","Bangalore","LUC-KOL-VAR-BAN","15:07","17:32",2,"business class available",10415,15,9,390
"GoAir","2024-06-02","Raipur","Guwahati","RAI-NAG-BAN-KOL-GUW","01:33","00:24",3,"in-flight meal not included",17272,2,6,105
"AirAsia India","2019-11-03","Nagpur","Mumbai","NAG-CHE-AHM-SUR-MUM","09:04","06:32",3,"new aircraft",12749,3,11,735
"Alliance Air","2022-10-16","Goa","Varanasi","GOA-JAI-BHU-VAR","21:49","10:05",2,"red-eye flight",10971,16,10,840
"TruJet","2022-09-08","Ahmedabad","Jaipur","AHM-NAG-BHU-JAI","16:35","05:59",2,"red-eye flight",10015,8,9,285
"Akasa Air","2023-04-18","Guwahati","Varanasi","GUW-DEL-VAR","00:35","03:42",1,"new aircraft",7522,18,4,225
"Air India","2023-04-22","Mumbai","Raipur","MUM-GOA-RAI","06:38","19:38",1,"1 long layover",6893,22,4,705
"TruJet","2023-08-27","Nagpur","Chennai","NAG-LUC-JAI-CHE","19:52","00:10",2,"none",9673,27,8,300
"SpiceJet","2022-08-24","Patna","Jaipur","PAT-IND-JAI","10:31","01:54",1,"wifi available",9300,24,8,450
"SpiceJet","2020-09-20","Jaipur","Mumbai","JAI-KOL-RAI-HYD-MUM","19:47","17:49",3,"1 long layover",11215,20,9,300
"SpiceJet","2024-12-27","Guwahati","Delhi","GUW-IND-PAT-DEL","20:03","16:50",2,"new aircraft",11405,27,12,420
"IndiGo","2020-07-27","Goa","Nagpur","GOA-NAG","20:53","22:57",0,"1 long layover",11337,27,7,930
"Akasa Air","2022-06-25","Raipur","Goa","RAI-VAR-AHM-HYD-GOA","20:32","22:03",3,"1 long layover",15145,25,6,465
"TruJet","2022-03-22","Indore","Lucknow","IND-GOA-LUC","09:48","02:15",1,"red-eye flight",9802,22,3,420
"Akasa Air","2022-01-03","Patna","Ahmedabad","PAT-GOA-JAI-AHM","08:47","02:30",2,"red-eye flight",15377,3,1,585
"TruJet","2024-12-20","Indore","Jaipur","IND-JAI","15:19","01:51",0,"1 long layover",4502,20,12,330
"SpiceJet","2020-06-27","Patna","Bangalore","PAT-LUC-KOL-BAN","00:21","16:08",2,"extra baggage allowed",10033,27,6,240
"Akasa Air","2024-01-21","Patna","Jaipur","PAT-PUN-GOA-HYD-JAI","18:43","01:42",3,"extra baggage allowed",11359,21,1,720
"Vistara","2019-04-05","Indore","Bangalore","IND-DEL-COC-BAN","12:20","10:02",2,"in-flight meal not included",8683,5,4,195
"Air India","2025-03-19","Hyderabad","Pune","HYD-CHE-BHU-MUM-PUN","03:30","20:07",3,"red-eye flight",9103,19,3,945
"IndiGo","2024-02-09","Bhubaneswar","Goa","BHU-SUR-IND-GOA","17:48","19:34",2,"business class available",8269,9,2,60
"Air India","2019-08-06","Varanasi","Pune","VAR-NAG-PUN","06:45","15:34",1,"wifi available",9993,6,8,630
"SpiceJet","2024-06-03","Patna","Jaipur","PAT-BHU-CHE-COC-JAI","15:10","11:43",3,"business class available",10606,3,6,675
"Vistara","2019-12-25","Delhi","Surat","DEL-NAG-SUR","20:41","19:37",1,"1 long layover",7459,25,12,285
"SpiceJet","2020-04-02","Cochin","Goa","COC-BHU-NAG-GOA","17:54","02:14",2,"in-flight meal not included",11818,2,4,930
"Air India","2020-11-04","Patna","Guwahati","PAT-GUW","03:55","04:11",0,"none",2630,4,11,435
"SpiceJet","2023-05-13","Hyderabad","Lucknow","HYD-VAR-RAI-LUC","21:00","16:00",2,"business class available",10879,13,5,585
"TruJet","2024-02-13","Varanasi","Bhubaneswar","VAR-PUN-JAI-BHU","04:41","20:36",2,"wifi available",4894,13,2,240
"Alliance Air","2024-02-04","Delhi","Jaipur","DEL-LUC-PAT-JAI","15:03","04:53",2,"wifi available",15374,4,2,585
"GoAir","2024-08-02","Nagpur","Kolkata","NAG-CHE-KOL","20:57","07:04",1,"business class available",9614,2,8,840
"Alliance Air","2020-03-16","Lucknow","Pune","LUC-PUN","18:36","13:49",0,"1 long layover",10631,16,3,720
"GoAir","2022-01-04","Raipur","Delhi","RAI-KOL-GOA-BAN-DEL","21:49","20:58",3,"1 long layover",15121,4,1,495
"GoAir","2024-12-01","Patna","Cochin","PAT-COC","05:16","02:51",0,"none",10305,1,12,435
"Akasa Air","2023-08-16","Mumbai","Nagpur","MUM-CHE-NAG","15:49","09:43",1,"in-flight meal not included",12317,16,8,570
"Star Air","2019-09-19","Pune","Hyderabad","PUN-JAI-HYD","17:20","01:12",1,"business class available",8526,19,9,135
"GoAir","2025-05-15","Cochin","Chennai","COC-JAI-KOL-CHE","14:18","19:29",2,"1 long layover",6334,15,5,435
"Akasa Air","2025-07-21","Raipur","Pune","RAI-HYD-PUN","06:00","22:12",1,"extra baggage allowed",12174,21,7,870
"IndiGo","2019-06-11","Indore","Chennai","IND-MUM-BHU-PUN-CHE","11:29","21:07",3,"wifi available",13732,11,6,480
"TruJet","2019-07-24","Guwahati","Ahmedabad","GUW-AHM","08:57","23:30",0,"new aircraft",10483,24,7,930
"SpiceJet","2025-01-04","Nagpur","Indore","NAG-IND","03:06","04:49",0,"wifi available",5472,4,1,855
"IndiGo","2024-04-10","Pune","Raipur","PUN-COC-DEL-RAI","11:18","03:17",2,"none",13996,10,4,735
"Vistara","2022-10-23","Jaipur","Guwahati","JAI-GUW","04:20","03:07",0,"limited seats",9233,23,10,225
"AirAsia India","2025-07-18","Ahmedabad","Hyderabad","AHM-PUN-HYD","08:49","09:36",1,"1 long layover",10713,18,7,495
"Vistara","2025-01-06","Chennai","Ahmedabad","CHE-HYD-AHM","08:49","17:17",1,"1 long layover",9626,6,1,900
"SpiceJet","2022-10-19","Raipur","Kolkata","RAI-JAI-CHE-GOA-KOL","17:43","04:15",3,"red-eye flight",6884,19,10,690
"GoAir","2022-08-09","Mumbai","Hyderabad","MUM-PUN-BHU-HYD","23:43","09:35",2,"business class available",10022,9,8,720
"Akasa Air","2024-03-07","Cochin","Delhi","COC-GUW-BAN-DEL","09:24","12:24",2,"new aircraft",8681,7,3,705
"Vistara","2020-03-02","Raipur","Delhi","RAI-GOA-DEL","15:23","14:25",1,"wifi available",10440,2,3,930
"IndiGo","2019-09-03","Bhubaneswar","Varanasi","BHU-COC-VAR","07:33","21:02",1,"extra baggage allowed",10585,3,9,855
